Protein	nPeptide	nFragment	Label	Label2	log2FC	score	SignedScore	FDR	log_oddsDE
A0A087WZ62|ALG9	1	2	0/4	EBP_E80K/EBP_wt	0.449577	0.0363539	0.0363539	0.527782	-3.27742
AARS	2	2	0/4	EBP_E80K/EBP_wt	0.144581	0.000180496	0.000180496	0.852883	-8.61962
ABCA3	1	1	0/4	EBP_E80K/EBP_wt	0.551957	0.0240916	0.0240916	0.589064	-3.7015
ABCB10	1	1	0/4	EBP_E80K/EBP_wt	0.29813	0.00520815	0.00520815	0.766794	-5.25231
ABCD3	2	3	0/4	EBP_E80K/EBP_wt	-0.238773	0.00125178	-0.00125178	0.837934	-6.68193
ABCE1	1	1	0/4	EBP_E80K/EBP_wt	0.139615	0.00421327	0.00421327	0.794954	-5.46529
ABCF1	2	2	0/4	EBP_E80K/EBP_wt	0.274951	0.00037002	0.00037002	0.847263	-7.90158
ABL2	2	2	0/4	EBP_E80K/EBP_wt	0.488266	0.0026639	0.0026639	0.832077	-5.9253
ACACA	60	248	0/4	EBP_E80K/EBP_wt	-0.811275	1	-1	0	581.457
ACACB	10	13	0/4	EBP_E80K/EBP_wt	-0.766708	0.0626806	-0.0626806	0.440037	-2.70497
ACAT1	1	1	0/4	EBP_E80K/EBP_wt	-0.15009	0.00426713	-0.00426713	0.793506	-5.45254
ACBD3	7	13	0/4	EBP_E80K/EBP_wt	0.401404	2.44725e-005	2.44725e-005	0.861239	-10.6179
ACBD5	8	17	0/4	EBP_E80K/EBP_wt	0.516429	0.886513	0.886513	0.00909838	2.05561
ACIN1	1	1	0/4	EBP_E80K/EBP_wt	-0.0318253	0.00365424	-0.00365424	0.821245	-5.60821
ACLY	7	11	0/4	EBP_E80K/EBP_wt	0.40491	4.45125e-007	4.45125e-007	0.86936	-14.6249
ACOT7	2	2	0/4	EBP_E80K/EBP_wt	-0.172284	0.000187261	-0.000187261	0.852566	-8.58282
ACSL3	10	28	0/4	EBP_E80K/EBP_wt	0.541416	1	1	8.68588e-013	23.8025
ACTB|ACTG1	4	6	0/4	EBP_E80K/EBP_wt	-1.06318	0.999992	-0.999992	4.07959e-007	11.7279
ACVR2A	1	1	0/4	EBP_E80K/EBP_wt	-0.304145	0.00618249	-0.00618249	0.746213	-5.07983
ADAM15	1	1	0/4	EBP_E80K/EBP_wt	-0.168978	0.00442636	-0.00442636	0.788394	-5.41574
ADCY3	1	1	0/4	EBP_E80K/EBP_wt	0.797853	0.0724522	0.0724522	0.418916	-2.54962
ADCY6	1	1	0/4	EBP_E80K/EBP_wt	-0.190813	0.00478975	-0.00478975	0.777096	-5.33648
ADD1	1	1	0/4	EBP_E80K/EBP_wt	0.0072495	0.00362777	0.00362777	0.826151	-5.6155
ADD2	1	1	0/4	EBP_E80K/EBP_wt	-0.185292	0.00458352	-0.00458352	0.78302	-5.38069
ADGRL2	1	1	0/4	EBP_E80K/EBP_wt	-0.223077	0.00516021	-0.00516021	0.768255	-5.2616
ADIPOR1	1	3	0/4	EBP_E80K/EBP_wt	0.349769	0.0149198	0.0149198	0.649562	-4.19003
ADNP	1	1	0/4	EBP_E80K/EBP_wt	0.580532	0.0079362	0.0079362	0.719986	-4.82835
ADRM1	1	1	0/4	EBP_E80K/EBP_wt	0.0194804	0.00363711	0.00363711	0.82351	-5.61292
AFDN	2	2	0/4	EBP_E80K/EBP_wt	-0.336112	0.000573566	-0.000573566	0.84396	-7.46306
