Protein	EBP_E80K_BR2	EBP_E80K_BR3	EBP_G157S_BR2	EBP_G157S_BR3	EBP_L18P_BR2	EBP_L18P_BR3	EBP_W196S_BR2	EBP_W196S_BR3	EBP_wt_BR2	EBP_wt_BR3	nFragment	nPeptide
A0A087WZ62|ALG9	2.59028e+006	2.84191e+006	2.58774e+006	2.77853e+006	2.64824e+006	2.51131e+006	2.31207e+006	0	2.06745e+006	1.68776e+006	2	1
AARS	5.01584e+006	5.19172e+006	4.75507e+006	4.91182e+006	5.70046e+006	5.36697e+006	5.32325e+006	6.47104e+006	4.28384e+006	4.96086e+006	2	2
ABCA3	1.86915e+006	1.94868e+006	1.85254e+006	1.52618e+006	2.01568e+006	1.69834e+006	1.59861e+006	1.55965e+006	1.23709e+006	1.36985e+006	1	1
ABCB10	1.10404e+006	802173	1.27843e+006	743869	1.10291e+006	1.01708e+006	955799	816032	1.02841e+006	569635	1	1
ABCC1	1.02079e+006	873830	875441	744981	1.0473e+006	990734	869389	762338	525269	0	2	2
ABCD3	3.05751e+006	2.82691e+006	3.73194e+006	2.92514e+006	2.46745e+006	3.90582e+006	3.24808e+006	3.69206e+006	3.67923e+006	2.60777e+006	3	2
ABCE1	1.59964e+006	1.80028e+006	1.4545e+006	1.40973e+006	1.68343e+006	1.71344e+006	1.64721e+006	1.61409e+006	1.59061e+006	1.49191e+006	1	1
ABCF1	5.57087e+006	5.14607e+006	5.80492e+006	4.97318e+006	5.74993e+006	5.34459e+006	5.66652e+006	5.39156e+006	4.38108e+006	4.46641e+006	2	2
ABL2	5.85997e+006	6.38828e+006	6.00573e+006	6.22516e+006	5.81746e+006	6.28077e+006	5.75271e+006	5.72972e+006	4.36062e+006	4.33632e+006	2	2
ACACA	7.52658e+008	8.5028e+008	7.84834e+008	8.48689e+008	7.35503e+008	7.96789e+008	8.43891e+008	6.44505e+008	1.29319e+009	1.4937e+009	262	67
ACACB	3.56149e+007	3.95459e+007	3.50641e+007	3.246e+007	3.43198e+007	3.54617e+007	4.03955e+007	3.4484e+007	5.52561e+007	6.04363e+007	16	13
ACAT1	1.0241e+006	1.28315e+006	999327	1.24064e+006	1.03182e+006	1.16102e+006	1.00409e+006	985975	1.27652e+006	1.26752e+006	1	1
ACBD3	5.67388e+007	5.3518e+007	5.593e+007	5.1708e+007	4.83741e+007	4.55054e+007	5.21915e+007	3.81269e+007	4.2606e+007	4.17868e+007	15	8
ACBD5	7.92017e+007	7.88721e+007	8.00024e+007	7.76735e+007	7.18503e+007	6.80253e+007	7.36879e+007	5.66649e+007	5.55639e+007	4.7581e+007	18	9
ACIN1	460372	560749	379487	534432	403278	385968	529333	371365	515500	523370	1	1
ACLY	3.46367e+007	2.92124e+007	3.39291e+007	2.81158e+007	3.52581e+007	2.82532e+007	3.30794e+007	2.3448e+007	2.56763e+007	2.21286e+007	13	9
ACOT7	2.12119e+006	2.1473e+006	2.98741e+006	0	2.51708e+006	2.41683e+006	2.76218e+006	2.22917e+006	2.51944e+006	2.22263e+006	2	2
ACSL3	1.13085e+008	1.11342e+008	1.09352e+008	1.11563e+008	1.02903e+008	1.01081e+008	1.02492e+008	7.84229e+007	7.86076e+007	7.3402e+007	30	11
ACSL4	4.77189e+006	3.76182e+006	5.35672e+006	4.51392e+006	4.5234e+006	3.71773e+006	4.46955e+006	3.85505e+006	0	3.42203e+006	2	2
ACTB|ACTG1	3.40331e+007	4.28812e+007	3.53127e+007	4.27215e+007	3.31836e+007	4.68049e+007	3.93621e+007	4.15139e+007	7.97472e+007	9.22866e+007	9	7
ACVR2A	3.90522e+006	2.86567e+006	4.43189e+006	4.09797e+006	5.17733e+006	4.20432e+006	3.42721e+006	3.76284e+006	4.68088e+006	3.64465e+006	1	1
ADAM15	634571	771741	868773	752937	951588	871134	656400	655167	722547	856684	1	1
ADCY3	4.45111e+006	4.04344e+006	4.66538e+006	4.32006e+006	3.02291e+006	2.69602e+006	3.50406e+006	2.51334e+006	2.77281e+006	2.14755e+006	1	1
ADCY6	1.21087e+006	1.24249e+006	1.22991e+006	1.37579e+006	1.30547e+006	1.27594e+006	1.42574e+006	1.33126e+006	1.32283e+006	1.48174e+006	1	1
ADD1	788508	806999	1.12348e+006	732663	880954	705163	879752	867915	940213	670021	1	1
ADD2	1.08467e+006	1.09914e+006	1.12293e+006	1.1077e+006	1.74988e+006	1.53898e+006	1.20127e+006	1.19535e+006	1.42732e+006	1.07991e+006	1	1
ADGRL2	3.02507e+006	4.83633e+006	4.62058e+006	5.00902e+006	4.47699e+006	6.35853e+006	4.57008e+006	3.23887e+006	2.55325e+006	5.47679e+006	3	3
ADIPOR1	6.66366e+006	5.57129e+006	5.26309e+006	6.44593e+006	6.65264e+006	5.70357e+006	5.25581e+006	5.91838e+006	1.7878e+006	4.29342e+006	3	1
ADNP	317178	237883	306537	396655	315002	209633	118725	521502	101796	206659	2	1
ADRM1	4.27116e+006	3.99158e+006	3.63066e+006	3.70146e+006	3.81893e+006	4.06333e+006	4.1746e+006	3.79408e+006	3.77604e+006	4.39466e+006	1	1
AFDN	1.9668e+006	2.40231e+006	2.25479e+006	2.66275e+006	3.34145e+006	3.09589e+006	2.36882e+006	2.78032e+006	2.42975e+006	2.76946e+006	3	3
AGFG1	670975	733390	535816	634167	802188	738386	547487	643009	487624	765907	1	1
AGPAT1	832809	743970	596654	778444	805619	749449	709480	492850	462937	571757	1	1
AGPAT2	648885	509553	788693	758642	853682	653013	644506	504577	533790	602446	1	1
AGPAT3	1.23842e+006	1.52314e+006	1.19868e+006	1.25043e+006	1.50316e+006	1.39639e+006	1.24191e+006	1.08937e+006	898632	1.23924e+006	1	1
